ACF2,query_mid,sender,rcpt,subject,files,Manager_ACF2,manager_name,job_family,employment_type,business_location,hire_date,employee_status,local_admin,privileged_user,government_cleared,size,rcpt_count,file_count,year,month,day,hour,minute,day_of_year,day_of_week,day_since_hire,rcpt_count_personal_max,rcpt_count_job_max,rcpt_count_personal_percentile,rcpt_count_job_percentile,file_count_personal_max,file_count_job_max,file_count_personal_percentile,file_count_job_percentile,size_personal_max,size_job_max,sub_sensitive_count,files_sensitive_count,files_sensitive_count_personal_max,files_sensitive_count_job_max,files_sensitive_count_personal_percentile,files_sensitive_count_job_percentile,sub_sensitive_count_personal_max,sub_sensitive_count_job_max,sub_sensitive_count_personal_percentile,sub_sensitive_count_job_percentile
XX123,1,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD42,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-01 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX124,2,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD43,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-02 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX125,3,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD44,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-03 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX126,4,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD45,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-04 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX127,5,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD46,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-05 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX128,6,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD47,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-06 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX129,7,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD48,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-07 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX130,8,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD49,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-08 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX131,9,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD50,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-09 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX132,10,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD51,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-10 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
